rank_arrivals,country,foreign_visitors_2024,foreign_visitors_2023,visitor_growth_pct,receipts_2024_rm_million,receipts_2023_rm_million,receipt_per_visitor_2024_rm,source_url
1,Singapore,18855680,14828553,27.2,27941.65,21575.31,1481.87,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
2,Indonesia,4145127,3479392,19.1,15323.27,11875.06,3696.69,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
3,China,3725894,1613312,130.9,20866.57,8881.23,5600.42,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
4,Thailand,2268182,2300158,-1.4,3993.81,3238.5,1760.8,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
5,Brunei,1732119,1116211,55.2,3235.1,2099.56,1867.71,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
6,India,1365387,773221,76.6,6112.06,3408.61,4476.43,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
7,Philippines,571533,461787,23.8,1804.38,1370.96,3157.09,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
8,South Korea,553165,465617,18.8,2901.45,2302.97,5245.18,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
9,Australia,447785,400909,11.7,2488.2,2114.36,5556.68,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
10,Chinese Taipei,423117,311437,35.9,2334.84,1624.42,5518.19,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
11,United Kingdom,390035,306926,27.1,2450.48,1880.29,6282.72,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
12,Japan,367182,277559,32.3,1934.97,1382.73,5269.78,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
13,Vietnam,366525,374181,-2.0,1306.55,1299.92,3564.7,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
14,United States,304880,257533,18.4,1656.75,1308.79,5434.11,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
15,France,183872,132311,39.0,924.86,623.52,5029.91,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
16,Germany,170712,137977,23.7,887.54,703.01,5199.05,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
19,Russia,130998,129514,1.1,628.69,594.55,4799.23,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
20,Pakistan,106388,111245,-4.4,547.04,543.13,5141.93,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
