state,topo_name,domestic_guests_2024,domestic_guests_2023,domestic_growth_pct,foreign_guests_2024,foreign_guests_2023,foreign_growth_pct,total_guests_2024,total_guests_2023,total_growth_pct,foreign_share_2024_pct,source_url
Kuala Lumpur,Kuala Lumpur,9781082,9712689,0.7,12129440,8701780,39.4,21910522,18414469,19.0,55.4,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Putrajaya,Putrajaya,555827,508102,9.4,221593,151626,46.1,777420,659728,17.8,28.5,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Selangor,Selangor,6131477,5985054,2.4,3349909,2787168,20.2,9481386,8772223,8.1,35.3,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Pulau Pinang,Penang,5236584,4795567,9.2,3000488,2476959,21.1,8237072,7272526,13.3,36.4,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Perak,Perak,4186503,4274117,-2.0,970611,867665,11.9,5157114,5141782,0.3,18.8,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Kedah,Kedah,3237364,2761947,17.2,1985063,1561751,27.1,5222427,4323697,20.8,38.0,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Perlis,Perlis,313443,317353,-1.2,8567,6730,27.3,322010,324083,-0.6,2.7,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Negeri Sembilan,Negeri Sembilan,2071056,2097075,-1.2,459715,340372,35.1,2530771,2437448,3.8,18.2,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Melaka,Melaka,3392342,3363245,0.9,1516524,1538630,-1.4,4908866,4901875,0.1,30.9,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Johor,Johor,7394268,6055964,22.1,3003542,3531649,-15.0,10397810,9587613,8.5,28.9,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Pahang,Pahang,11550656,10222376,13.0,2931858,3212597,-8.7,14482514,13434973,7.8,20.2,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Terengganu,Terengganu,2412518,2378908,1.4,281579,206327,36.5,2694097,2585235,4.2,10.5,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Kelantan,Kelantan,1389452,1343953,3.4,102252,59273,72.5,1491704,1403226,6.3,6.9,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Sabah,Sabah,4257096,4489761,-5.2,3135973,2221221,41.2,7393069,6710982,10.2,42.4,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Labuan,Labuan,399785,591083,-32.4,51978,77075,-32.6,451763,668158,-32.4,11.5,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Sarawak,Sarawak,5739958,5402584,6.2,1445113,1218196,18.6,7185071,6620780,8.5,20.1,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
