state,topo_name,aor_2024_pct,aor_2023_pct,difference_pp,source_url
Kuala Lumpur,Kuala Lumpur,62.6,59.1,3.5,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Putrajaya,Putrajaya,56.5,55.0,1.5,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Selangor,Selangor,51.6,49.9,1.7,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Pulau Pinang,Penang,56.8,52.9,3.9,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Perak,Perak,46.9,47.3,-0.4,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Kedah,Kedah,46.6,43.4,3.2,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Perlis,Perlis,41.0,42.2,-1.2,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Negeri Sembilan,Negeri Sembilan,42.2,41.0,1.2,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Melaka,Melaka,45.4,44.7,0.7,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Johor,Johor,52.3,50.7,1.6,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Pahang,Pahang,75.6,74.1,1.5,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Terengganu,Terengganu,46.3,44.8,1.5,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Kelantan,Kelantan,43.2,41.2,2.0,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Sabah,Sabah,51.6,49.0,2.6,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Labuan,Labuan,37.0,33.3,3.7,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Sarawak,Sarawak,47.7,46.0,1.7,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Malaysia,Malaysia,54.9,52.9,2.0,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
